level_date,prev_date,published_level,source_column,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2025-05-12,2025-05-09,3.0,level_name,3142.06,-3139.06,3139.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-05-12,2025-05-09,4.0,level_name,3142.06,-3138.06,3138.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-05-12,2025-05-09,5.0,level_name,3142.06,-3137.06,3137.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-05-12,2025-05-09,6.0,level_name,3142.06,-3136.06,3136.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-05-12,2025-05-09,7.0,level_name,3142.06,-3135.06,3135.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-05-12,2025-05-09,8.0,level_name,3142.06,-3134.06,3134.06,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3347.52,3274.79,3327.15,72.73000000000002,51.36500000000001,30.0
2025-06-10,2025-06-09,1.0,level_name,3188.96,-3187.96,3187.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,2.0,level_name,3188.96,-3186.96,3186.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,3.0,level_name,3188.96,-3185.96,3185.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,4.0,level_name,3188.96,-3184.96,3184.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,5.0,level_name,3188.96,-3183.96,3183.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,6.0,level_name,3188.96,-3182.96,3182.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-10,2025-06-09,7.0,level_name,3188.96,-3181.96,3181.96,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3338.24,3293.6,3325.39,44.63999999999987,37.319999999999936,30.0
2025-06-11,2025-06-10,1.0,level_name,3194.68,-3193.68,3193.68,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3349.2,3301.94,3322.4,47.25999999999976,38.62999999999988,30.0
2025-06-11,2025-06-10,2.0,level_name,3194.68,-3192.68,3192.68,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3349.2,3301.94,3322.4,47.25999999999976,38.62999999999988,30.0
