cluster_rank,level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,candidate_method,cluster_raw_id,cluster_candidate_count,cluster_min,cluster_max,cluster_mid,cluster_mean,cluster_median,cluster_width,cluster_score,score_mean,score_sum,rank_weight_sum,best_candidate_rank_in_cluster,actual_published_level,cluster_mid_signed_error,cluster_mid_abs_error,cluster_mean_abs_error,cluster_median_abs_error,cluster_contains_actual,cluster_mid_within_3,cluster_mid_within_5,cluster_band_plus_3_contains_actual,cluster_band_plus_5_contains_actual,candidate_anchor_keys,candidate_prices,candidate_ranks,prev_high,prev_low,prev_close,prev_open,prev_mid,prev_range,box_size,prev_close_position_pct,prev_candle_body_pct,prev_candle_direction,range_bucket_state,close_position_bucket_state,cluster_prev_range_position_pct,cluster_offset_from_prev_close,cluster_abs_offset_from_prev_close,expected_position_pct,state_position_delta,state_position_score,state_side_score,state_anchor_family_score,state_width_penalty,state_cluster_count_bonus,state_gate_score,state_cluster_rank,live_reference_price,live_reference_source,live_ema5,live_channel_state,live_channel_norm,cluster_offset_from_live_price,cluster_abs_offset_from_live_price,expected_live_offset,live_offset_delta,live_offset_score,live_side_score,live_width_penalty,live_selector_score,live_cluster_rank,calibration_mode,calibrated_selector_score,calibrated_cluster_rank,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason,routed_cluster_rank,routed_selector_score
3,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,4116.54,4116.54,4116.54,4116.54,4116.54,0.0,78.645219,90.480263,90.480263,0.333333,3,4071.63,-44.91,44.91,44.91,44.91,False,False,False,False,False,green_box_edge::green_edge_2,4116.540000,3,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,1.3447879554074254,99.98999999999978,99.98999999999978,0.6499999999999999,0.6947879554074254,-18.0,14.0,4.0,0.0,1.2,49.96003578,4,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,61.36000000000013,61.36000000000013,54.99469999999989,6.365300000000239,27.226024999999822,18.0,0.0,74.20284575239982,1,MODE_A_LIVE_PROXIMITY_HEAVY,68.56194837039975,1,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,False,12,8.333333,8.333333,13.15,0.170833,39.026667,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12,1,68.56194837039975
2,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4072.66125,4072.66125,4072.66125,4072.66125,4072.66125,0.0,80.569046,91.498355,91.498355,0.5,2,4071.63,-1.03125,1.03125,1.03125,1.03125,False,True,True,True,True,green_box_quarter::green_box_2_25pct,4072.661250,2,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.8404924721296415,56.11124999999993,56.11124999999993,0.6499999999999999,0.1904924721296416,11.665526950925088,14.0,4.0,0.0,1.2,80.81833547092509,2,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,17.481250000000273,17.481250000000273,54.99469999999989,37.513449999999615,3.864912500000287,18.0,0.0,68.73954707313683,2,MODE_A_LIVE_PROXIMITY_HEAVY,68.13179675476671,2,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,False,12,8.333333,8.333333,13.15,0.170833,39.026667,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12,2,68.13179675476671
1,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,2,4057.536696,4058.035,4057.785848,4057.785848,4057.785848,0.498304,87.633128,91.50282,183.005641,1.25,1,4071.63,13.844152,13.844152,13.844152,13.844152,False,False,False,False,False,prior_range_fraction::prev_range_0.666667 | green_box_edge::green_edge_1,4057.536696 | 4058.035000,1 | 4,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.6695304907481893,41.235847999999805,41.235847999999805,0.6499999999999999,0.019530490748189355,23.632865647626744,14.0,4.0,0.3238976,2.4,98.04150740762675,1,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,2.605848000000151,2.605848000000151,54.99469999999989,52.38885199999974,-7.291638999999805,2.0,0.249152,51.3232832964237,3,MODE_A_LIVE_PROXIMITY_HEAVY,62.03726174337296,3,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,False,12,8.333333,8.333333,13.15,0.170833,39.026667,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12,3,62.03726174337296
4,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,1,4034.206667,4034.206667,4034.206667,4034.206667,4034.206667,0.0,76.37022,88.396931,88.396931,0.2,5,4071.63,37.423333,37.423333,37.423333,37.423333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,4034.206667,5,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.3985365705091348,17.656666999999743,17.656666999999743,0.6499999999999999,0.2514634294908651,7.397559935639443,14.0,0.0,0.0,1.2,69.94709633563944,3,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,-20.97333299999991,20.97333299999991,54.99469999999989,75.96803299999979,-24.976024749999844,-15.0,0.0,0.5932911246710333,4,MODE_A_LIVE_PROXIMITY_HEAVY,15.3163990654153,4,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,False,12,8.333333,8.333333,13.15,0.170833,39.026667,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12,4,15.3163990654153
3,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,5,1,4064.7875,4064.7875,4064.7875,4064.7875,4064.7875,0.0,79.354002,91.702303,91.702303,0.333333,3,4039.56,-25.2275,25.2275,25.2275,25.2275,False,False,False,False,False,prior_range_fraction::prev_range_0.75,4064.787500,3,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.7499999999999987,48.23749999999973,48.23749999999973,0.49,0.2599999999999987,6.800000000000093,10.0,0.0,0.0,1.2,67.1994812400001,3,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,9.607500000000073,9.607500000000073,23.98704999999995,14.379549999999877,21.215337500000093,15.0,0.0,75.19103661920015,1,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,88.14015139766407,1,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,False,12,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12,1,88.14015139766407
5,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,4057.2875,4057.2875,4057.2875,4057.2875,4057.2875,0.0,77.869507,90.981908,90.981908,0.2,5,4039.56,-17.7275,17.7275,17.7275,17.7275,False,False,False,False,False,red_box_midline::red_mid_1,4057.287500,5,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.6638030111481423,40.73749999999973,40.73749999999973,0.49,0.17380301114814234,12.833789219630036,10.0,0.0,0.0,1.2,72.31288355963004,2,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,2.1075000000000728,2.1075000000000728,23.98704999999995,21.879549999999877,15.590337500000093,8.0,0.0,65.5318099645855,2,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,73.92452405943712,2,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,False,12,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12,2,73.92452405943712
4,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4028.035,4028.035,4028.035,4028.035,4028.035,0.0,78.339527,91.102632,91.102632,0.25,4,4039.56,11.525,11.525,11.525,11.525,False,False,False,False,False,red_box_edge::red_edge_1,4028.035000,4,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.3276060222962847,11.484999999999673,11.484999999999673,0.49,0.16239397770371528,13.63242156073993,10.0,2.0,0.0,1.2,75.40292830073993,1,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,-27.144999999999982,27.144999999999982,23.98704999999995,51.132049999999936,-6.349037499999952,-7.0,0.0,30.384660914429205,3,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,40.82653739623785,3,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,False,12,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12,3,40.82653739623785
1,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,1,4013.40875,4013.40875,4013.40875,4013.40875,4013.40875,0.0,85.180478,92.552549,92.552549,1.0,1,4039.56,26.15125,26.15125,26.15125,26.15125,False,False,False,False,False,red_box_quarter::red_box_2_25pct,4013.408750,1,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.1595075278703585,-3.1412500000001273,3.1412500000001273,0.49,0.3304924721296415,1.8655269509250942,10.0,0.0,0.0,1.2,65.8774233109251,4,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,-41.77124999999978,41.77124999999978,23.98704999999995,65.75829999999974,-17.3187249999998,-7.0,0.0,13.890180520336749,4,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,33.99138169316346,4,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,False,12,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12,4,33.99138169316346
2,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,1,3998.7825,3998.7825,3998.7825,3998.7825,3998.7825,0.0,80.846072,91.975987,91.975987,0.5,2,4039.56,40.7775,40.7775,40.7775,40.7775,False,False,False,False,False,red_box_midline::red_mid_2,3998.782500,2,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,-0.008590966555572947,-17.767500000000382,17.767500000000382,0.49,0.49859096655557295,-9.90136765889011,-3.0,0.0,0.0,1.2,38.423196981109896,5,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,-56.397500000000036,56.397500000000036,23.98704999999995,80.38454999999999,-25.0,-7.0,0.0,-9.714545750956262,5,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,15.761436780064743,5,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,False,12,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12,5,15.761436780064743
4,2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4028.035,4028.035,4028.035,4028.035,4028.035,0.0,77.256882,89.925658,89.925658,0.2,5,4005.44,-22.595,22.595,22.595,22.595,False,False,False,False,False,red_box_edge::red_edge_1,4028.035000,5,4086.54,3999.53,4016.55,4085.03,4043.035,87.00999999999976,58.50499999999988,0.1956097000344791,-0.7870359728766831,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,0.3276060222962847,11.484999999999673,11.484999999999673,0.33,0.0023939777037153,24.832421560739927,-3.0,6.0,0.0,1.2,76.93168840073993,3,4055.18,AUTO_JSON,4057.2566271731957,ema_proxy_up,UP,-27.144999999999982,27.144999999999982,-16.966449999999963,10.178550000000019,24.366087499999985,15.0,0.0,83.98646677242914,2,MODE_C_BALANCED,111.13368999031029,1,MODE_C_BALANCED,REGIME_LEVEL_EXACT,False,12,16.666667,16.666667,15.70125,4.090729,40.412583,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=12,1,111.13368999031029
